Start:,Stop:
12:27:02,12:27:06
12:27:41,12:27:55
12:28:05,12:28:21
12:28:28,12:28:42
12:30:04,12:30:21
12:30:44,12:31:18
12:31:27,12:31:44
12:35:38,12:35:53
12:36:03,12:36:20
12:36:28,12:37:51
12:37:51,12:38:14
12:38:29,12:38:32
12:39:16,12:39:32
12:40:16,12:40:36
12:42:51,12:43:20
12:43:30,12:44:02
12:44:14,12:44:20
12:44:21,12:44:26
12:44:35,12:44:42
12:45:18,12:45:22
12:45:30,12:46:07
12:46:18,12:46:50
12:46:58,12:47:13
12:47:20,12:47:35
12:47:56,12:48:21
12:49:41,12:49:56
12:50:07,12:50:24
12:50:53,12:51:52
12:52:04,12:52:55
12:53:05,12:53:25
12:54:21,12:54:54
12:55:06,12:55:49
12:55:59,12:56:21
12:56:28,12:56:44
